Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.60790901430323E-07,-5.64320645350742E-06,0.0706726714806953,0,0,0,0.550602760471901,0.00142017584507119,3.08098146076886E-08,-5.73433229424981E-10,0.00143857361219326,-4.68447322183702E-08,0.000380243423733305,0,0,0,0,0,0,package://CTAG2F120/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://CTAG2F120/meshes/base_link.STL,,壳体-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L2_Link,-0.003074982647498,0.0306564239589311,-2.62500719653024E-15,0,0,0,0.0103929935266039,8.4939190062867E-06,4.90585305963773E-07,3.85686488037559E-22,3.65217546217458E-06,1.11215058290318E-21,5.18210347868653E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/L2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CTAG2F120/meshes/L2_Link.STL,,指端组件-1/3号连杆外侧-1,坐标系3,基准轴3,L2,revolute,-0.031808,0,0.15424,1.5708,0,-3.1416,base_link,0,0,-1,2,1000,-1,1,,,,,,,,
Left_in_Link,-0.0135386634172176,0.0217978676711873,8.23798541583149E-10,0,0,0,0.0148304041156915,5.03355963171223E-06,1.41306394406675E-06,1.03726006011721E-14,1.36223938670171E-06,-1.03191178488474E-13,5.38450977847141E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_in_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_in_Link.STL,,指端组件-1/6号连杆-1,坐标系5,基准轴5,Left_in,revolute,-0.0064872,0.064675,0,0,0,0,L2_Link,0,0,1,0,0,0,0,,,,,,,,
Left_Pad_Link,1.39411637616049E-12,0.00209017759146468,1.28343121452714E-13,0,0,0,0.00221607596633023,3.72447507805222E-07,-1.42598052017838E-21,2.85390625390961E-22,9.6014725135424E-08,4.09611600650029E-22,2.77910166647351E-07,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_Pad_Link.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_Pad_Link.STL,,指端组件-1/指垫-1,坐标系6,基准轴56,Left_Pad,fixed,-0.024321,0.03825,0,0,0,0,Left_in_Link,0,0,0,,,,,,,,,,,,
L3_Link,-0.00308938473733376,0.031014056946804,-1.10668984574934E-15,0,0,0,0.0174171623188832,4.92759040651406E-06,1.97343592159646E-07,9.8958131249605E-23,2.89352854551974E-06,-6.32506296879156E-22,2.46748088438256E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/L3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CTAG2F120/meshes/L3_Link.STL,,指端组件-1/4号连杆-1;指端组件-1/5号连杆-1,坐标系4,基准轴4,L3,revolute,-0.014488,0,0.16424,1.5708,0,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
Left_Main_Link,0.0199236198490203,-0.0017462458370337,3.35612229870905E-17,0,0,0,0.00767248607311942,1.61905064419593E-07,1.41186473929966E-07,1.16074029320803E-07,1.76183954189053E-06,-1.01644257475684E-08,1.8078877181843E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_Main_Link.STL,1,1,1,1,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_Main_Link.STL,,指端组件-1/2号连杆-2;指端组件-1/2号连杆-1,坐标系4,基准轴4,Left_Main,revolute,-0.014488,0,0.16424,1.5708,0,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
L1_Link,-0.0145073789806201,0.0290823993984715,9.18161249467235E-16,0,0,0,0.00985263959018644,3.66964315008607E-06,1.75717427840684E-06,-3.23368457479221E-23,1.02364534605578E-06,9.20158722921844E-23,4.6399483772557E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/L1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://CTAG2F120/meshes/L1_Link.STL,,指端组件-1/3号连杆-3;指端组件-1/3号连杆-2,坐标系2,基准轴2,L1,revolute,0.039848,-0.0034894,0,0,0,0,Left_Main_Link,0,0,1,0,0,0,0,,,,,,,,
Left_Slip_Link,-0.0101161357570116,-0.0153030076118182,1.9668117698532E-13,0,0,0,0.0104817171858542,1.70868067057352E-06,-9.02640123358802E-07,-2.83098552056847E-21,1.65153314998731E-06,-3.48452007732097E-21,2.44312625018602E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_Slip_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CTAG2F120/meshes/Left_Slip_Link.STL,,指端组件-1/1号连杆-1,坐标系2,基准轴2,Left_Slip,revolute,0.039848,-0.0034894,0,0,0,0,Left_Main_Link,0,0,1,0,0,0,0,,,,,,,,
R2_Link,-0.00307534282071652,0.0306564133124412,7.14174657879278E-14,0,0,0,0.0103929935266039,8.49390755914334E-06,4.90641790340941E-07,5.86605656108451E-22,3.65218690931793E-06,6.42852492771497E-22,5.18210347868652E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/R2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CTAG2F120/meshes/R2_Link.STL,,指端组件-2/3号连杆外侧-1,坐标系33,基准轴33,R2,revolute,0.031809,0,0.15424,1.5708,0,0,base_link,0,0,-1,2,1000,-1,1,,,,,,,,
Right_in_Link,-0.01353866342122,0.0217978676545458,8.23589797046891E-10,0,0,0,0.0148304041156915,5.03355963171223E-06,1.41306394406675E-06,1.03725990405709E-14,1.36223938670171E-06,-1.03191172758403E-13,5.38450977847141E-06,0,0,0,0,0,0,package://CTAG2F120/meshes/Right_in_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CTAG2F120/meshes/Right_in_Link.STL,,指端组件-2/6号连杆-1,坐标系55,基准轴55,Right_in,revolute,-0.006488,0.064675,0,0,0,0,R2_Link,0,0,1,0,0,0,0,,,,,,,,
