Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.70472456312954E-05,0.0530718722977775,2.79114966746296E-05,0,0,0,0.341125691217397,0.000408936535578843,-8.17805603348942E-09,4.47952285190687E-10,0.000189574747561623,6.75047200853191E-08,0.000450553489757044,0,0,0,0,0,0,package://ctag2f90/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/base_link.STL,,CTAG2F90壳体-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_1_Link,-0.00216023278797164,0.0229756262778629,-1.09762301004467E-17,0,0,0,0.00525185087473742,1.29915366945759E-06,1.08158456860528E-07,-4.31171731173373E-25,1.58980207971059E-07,3.90492034933371E-24,1.24592330423507E-06,0,0,0,0,0,0,package://ctag2f90/meshes/Left_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/Left_1_Link.STL,,连杆组件-13/CTAG2F90-1摆动连杆-6;连杆组件-13/CTAG2F90-1摆动连杆-5;连杆组件-13/CTAG2F90圆柱销-6,坐标系11,基准轴11,Left_1_Joint,revolute,-0.0301399999999905,0,0.0921500000000052,1.5707963267949,0,3.14159265358979,base_link,0,0,1,2,1000,0,1,,,,,,,,
Left_in_Link,-0.00517225975736366,-0.0141688392037855,2.28175648787779E-11,0,0,0,0.00383708766079197,4.84459849187622E-07,-1.52555157158069E-07,1.78346399549437E-15,1.29068562817071E-07,3.96861368131531E-15,5.23972721354722E-07,0,0,0,0,0,0,package://ctag2f90/meshes/Left_in_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ctag2f90/meshes/Left_in_Link.STL,,连杆组件-13/CTAG2F90-拉动连杆-3;连杆组件-13/CTAG2F90圆柱销2-7,坐标系13,基准轴13,Left_in_Joint,revolute,-0.00224663866182076,0.0238946147638527,0,0,0,0,Left_1_Link,0,0,-1,0,0,0,0,,,,,,,,
Left_up_Link,-0.00917616465842171,0.0156880031659625,-3.65636678779896E-10,0,0,0,0.00430244272808627,7.56986881810795E-07,2.63063421663285E-07,-1.93590480455415E-14,2.06452748106453E-07,6.99695551698427E-15,8.68010190953914E-07,0,0,0,0,0,0,package://ctag2f90/meshes/Left_up_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/Left_up_Link.STL,,连杆组件-13/CTAG2F90指端连杆-3;连杆组件-13/CTAG2F90圆柱销2-8,坐标系12,基准轴12,Left_up_Joint,revolute,-0.00514854693398816,0.0547584921672448,0,0,0,0,Left_1_Link,0,0,1,0,0,0,0,,,,,,,,
Left_Pad_Link,0.00262072022484967,0.00281674085390529,5.27359799591725E-18,0,0,0,0.00691090963852968,1.18827725493549E-06,-5.56693887213329E-09,1.50559936447724E-23,3.33956076985263E-07,4.55102796714927E-23,8.83299917486064E-07,0,0,0,0,0,0,package://ctag2f90/meshes/Left_Pad_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/Left_Pad_Link.STL,,连杆组件-13/CTAG2F90指端-3;连杆组件-13/CTAG2F90_指垫-3,坐标系14,基准轴14,Left_Pad_Joint,fixed,-0.0240101905072233,0.0412440692922833,0,0,0,0,Left_up_Link,0,0,0,,,,,,,,,,,,
Left_2_Link,-0.00246967319433728,0.0262385171904811,5.8970500137674E-18,0,0,0,0.0063217055921517,1.33702073460728E-06,1.08817352659831E-07,-8.33055887051683E-25,1.91156253299555E-07,-1.54727299050089E-23,1.25943274834109E-06,0,0,0,0,0,0,package://ctag2f90/meshes/Left_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/Left_2_Link.STL,,连杆组件-13/CTAG2F90 随动连杆-5;连杆组件-13/CTAG2F90 随动连杆-6;连杆组件-13/CTAG2F90圆柱销-7;连杆组件-13/CTAG2F90圆柱销2-9,坐标系2,基准轴22,Left_2_Joint,revolute,-0.0159999999999588,0,0.109000000000001,1.5707963267949,0,3.14159265358979,base_link,0,0,-1,0,0,0,0,,,,,,,,
Right_2_Link,-0.0024696731943614,0.0262385171904327,2.02881633696341E-17,0,0,0,0.0063217055921517,1.33702073460727E-06,1.0881735265983E-07,-2.51033403323158E-23,1.91156253299555E-07,-6.99424735929351E-24,1.25943274834109E-06,0,0,0,0,0,0,package://ctag2f90/meshes/Right_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/Right_2_Link.STL,,连杆组件-14/CTAG2F90 随动连杆-6;连杆组件-14/CTAG2F90 随动连杆-5;连杆组件-14/CTAG2F90圆柱销-7;连杆组件-14/CTAG2F90圆柱销2-9,坐标系3,基准轴33,Right_2_Joint,revolute,0.015999999999983,0,0.109000000000049,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Right_1_Link,-0.00216023278800141,0.0229756262778828,2.4551403571316E-18,0,0,0,0.00525185087473742,1.29915366945759E-06,1.08158456860528E-07,-1.72627385715235E-23,1.5898020797106E-07,-2.00765453344463E-23,1.24592330423507E-06,0,0,0,0,0,0,package://ctag2f90/meshes/Right_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/Right_1_Link.STL,,连杆组件-14/CTAG2F90-1摆动连杆-6;连杆组件-14/CTAG2F90-1摆动连杆-5;连杆组件-14/CTAG2F90圆柱销-6,坐标系41,基准轴41,Right_1_Joint,revolute,0.03014,0,0.09215,1.5708,0,0,base_link,0,0,1,2,1000,0,1,,,,,,,,
Right_in_Link,-0.00517225975715395,-0.0141688392040697,2.28175753011522E-11,0,0,0,0.00383708766079197,4.84459849187621E-07,-1.52555157158068E-07,1.78346401564569E-15,1.29068562817071E-07,3.96861372763835E-15,5.23972721354722E-07,0,0,0,0,0,0,package://ctag2f90/meshes/Right_in_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ctag2f90/meshes/Right_in_Link.STL,,连杆组件-14/CTAG2F90-拉动连杆-3;连杆组件-14/CTAG2F90圆柱销2-7,坐标系43,基准轴43,Right_in_Joint,revolute,-0.00224663866206024,0.0238946147641568,0,0,0,0,Right_1_Link,0,0,1,0,0,0,0,,,,,,,,
Right_up_Link,-0.00917616465858192,0.0156880031655183,-3.65636665872006E-10,0,0,0,0.00430244272808627,7.56986881810797E-07,2.63063421663284E-07,-1.93590479997781E-14,2.06452748106451E-07,6.99695540210408E-15,8.68010190953914E-07,0,0,0,0,0,0,package://ctag2f90/meshes/Right_up_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctag2f90/meshes/Right_up_Link.STL,,连杆组件-14/CTAG2F90指端连杆-3;连杆组件-14/CTAG2F90圆柱销2-8,坐标系42,基准轴42,Right_up_Joint,revolute,-0.00514854693385725,0.054758492167709,0,0,0,0,Right_1_Link,0,0,1,0,0,0,0,,,,,,,,
