Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.0002E-05,-4.9644E-05,0.066798,0,0,0,0.49713,0.00033383,-3.4264E-07,-2.8843E-07,0.00033331,-1.0343E-06,0.00031927,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/base_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/base_link.STL,,CTDH3F110-25 法兰-1;CTDH3F110-J02-00 底座组件-1/CTDH3F110-00 三指手底座-1;CTDH3F110-J00-00 手指安装板组件-2/CTDH3F110-08 三指手手指基座-1;CTDH3F110-11 三指手封盖-1;CTDH3F110-12 三指手封盖硅胶垫-1;CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-01 指根组件-1/CTDH3F110-02 指根遮挡板-1;CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-01 指根组件-1/CTDH3F110-02 指根遮挡板-1;CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-01 指根组件-1/CTDH3F110-02 指根遮挡板-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link13,-0.0035312,0.022934,0.0086404,0,0,0,0.029181,1.3033E-05,1.2869E-07,4.6605E-07,1.2182E-05,-3.0251E-06,9.9366E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link13.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link13.STL,,CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-01 指根组件-1/CTDH3F110-03 指根连接块-1;CTDH3F110-J01-00 手指组件-18/CTDH3F110-14 手指螺丝硅胶垫-8;CTDH3F110-J01-00 手指组件-18/CTDH3F110-14 手指螺丝硅胶垫-3,坐标系13,基准轴13,Joint13,revolute,-0.029046,0.01677,0.1191,0,0,0,base_link,0,0,-1,10,10,0,1,,,,,,,,
Link12,0.020815,0.015323,3.446E-05,0,0,0,0.030165,6.3013E-06,-2.0448E-07,4.0541E-09,6.4812E-06,-1.2408E-08,5.8353E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link12.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link12.STL,,CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-04 指腹-2;CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-15 指腹硅胶垫-1;CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-07 指腹上盖板-1;CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-06 指腹下盖板-1,坐标系12,基准轴12,Joint12,revolute,-0.0063006,0.041019,0.030503,1.5708,0,1.7232,Link13,0,0,-1,10,10,0,1,,,,,,,,
Link11,0.0220682849152632,0.00531551146303259,5.69195943202205E-06,0,0,0,0.0268745218383855,4.45889110321997E-06,-1.22689380918118E-06,1.34971676410516E-09,8.64199768182507E-06,1.58995416269744E-09,7.46858768488579E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link11.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link11.STL,,CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-03 指端组件-1/CTDH3F110-09 指端硅胶垫-1;CTDH3F110-J01-00 手指组件-18/CTDH3F110-J01-03 指端组件-1/CTDH3F110-05 指端-1;CTDH3F110-J01-00 手指组件-18/CTDH3F110-14 手指螺丝硅胶垫-7;CTDH3F110-J01-00 手指组件-18/CTDH3F110-14 手指螺丝硅胶垫-6,坐标系11,基准轴11,Joint11,revolute,0.04178,0.029248,0,0,0,0,Link12,0,0,-1,10,10,0,1,,,,,,,,
Link23,0.0200996830855158,-0.0115948814665728,0.0091404319824489,0,0,0,0.0291808147793606,1.23884882111721E-05,3.87786497051679E-07,-2.65163219316604E-06,1.28254012826531E-05,1.52853821896308E-06,9.93663530345822E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link23.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link23.STL,,CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-01 指根组件-1/CTDH3F110-03 指根连接块-1;CTDH3F110-J01-00 手指组件-19/CTDH3F110-14 手指螺丝硅胶垫-8;CTDH3F110-J01-00 手指组件-19/CTDH3F110-14 手指螺丝硅胶垫-3,坐标系23,基准轴23,Joint23,revolute,0.029046,0.01677,0.1186,0,0,0,base_link,0,0,-1,10,10,0,1,,,,,,,,
Link22,-0.0208149724534695,0.0153266052099856,-3.44808788429185E-05,0,0,0,0.0301652031873904,6.30129252237456E-06,2.04473470759793E-07,4.05688136318259E-09,6.48115941783835E-06,1.24115355399397E-08,5.8352848096768E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link22.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link22.STL,,CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-04 指腹-2;CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-15 指腹硅胶垫-1;CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-06 指腹下盖板-1;CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-07 指腹上盖板-1,坐标系22,基准轴22,Joint22,revolute,0.03594,-0.02075,0.031,1.5708,0,2.618,Link23,0,0,-1,10,10,0,1,,,,,,,,
Link21,-0.0220690222545141,0.00531363745555281,-5.62117962785158E-06,0,0,0,0.0268742700095974,4.459054433657E-06,1.22637677151005E-06,1.02425192435208E-09,8.64080004095595E-06,-1.342841624111E-09,7.46762812059938E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link21.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link21.STL,,CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-03 指端组件-1/CTDH3F110-09 指端硅胶垫-1;CTDH3F110-J01-00 手指组件-19/CTDH3F110-J01-03 指端组件-1/CTDH3F110-05 指端-1;CTDH3F110-J01-00 手指组件-19/CTDH3F110-14 手指螺丝硅胶垫-6;CTDH3F110-J01-00 手指组件-19/CTDH3F110-14 手指螺丝硅胶垫-7,坐标系21,基准轴21,Joint21,revolute,-0.04178,0.029254,0,0,0,0,Link22,0,0,-1,10,10,0,1,,,,,,,,
Link33,-0.0200913622613729,-0.0116093449877362,0.00864047673971273,0,0,0,0.029180821974587,1.23805769264334E-05,-3.82812536707291E-07,2.64995620938162E-06,1.28342349117153E-05,1.53154197152145E-06,9.93631555119799E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link33.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link33.STL,,CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-01 指根组件-1/CTDH3F110-03 指根连接块-1;CTDH3F110-J01-00 手指组件-20/CTDH3F110-14 手指螺丝硅胶垫-8;CTDH3F110-J01-00 手指组件-20/CTDH3F110-14 手指螺丝硅胶垫-3,坐标系33,基准轴33,Joint33,revolute,0,-0.03354,0.1191,0,0,0,base_link,0,0,-1,10,10,0,1,,,,,,,,
Link32,-0.018934558321389,0.0153248441749129,-3.4453756827188E-05,0,0,0,0.030165199989468,6.30129981313272E-06,2.04478725409673E-07,4.05367554913281E-09,6.48116471797108E-06,1.24083605777153E-08,5.83528961128803E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link32.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link32.STL,,CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-15 指腹硅胶垫-1;CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-04 指腹-2;CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-07 指腹上盖板-1;CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-02 指腹组件-1/CTDH3F110-06 指腹下盖板-1,坐标系32,基准轴32,Joint32,revolute,-0.037569,-0.02169,0.030502,1.5708,0,0.5236,Link33,0,0,-1,10,10,0,1,,,,,,,,
Link31,-0.0204257321214593,0.00531450401902912,-5.51766545714427E-06,0,0,0,0.0268741519964675,4.45875472154283E-06,1.22671319229399E-06,1.22838001412122E-09,8.64170154511994E-06,-1.43184376799078E-09,7.46827026476327E-06,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link31.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://crt_ctdh3f110_gripper_visualization/meshes/Link31.STL,,CTDH3F110-J01-00 手指组件-20/CTDH3F110-14 手指螺丝硅胶垫-7;CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-03 指端组件-1/CTDH3F110-05 指端-1;CTDH3F110-J01-00 手指组件-20/CTDH3F110-J01-03 指端组件-1/CTDH3F110-09 指端硅胶垫-1;CTDH3F110-J01-00 手指组件-20/CTDH3F110-14 手指螺丝硅胶垫-6,坐标系31,基准轴31,Joint31,revolute,-0.041542,0.029251,0,0,0,0,Link32,0,0,-1,10,10,0,1,,,,,,,,
