Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000380344407007916,0.000200155684031413,-0.228146029850361,0,0,0,8.38163632233072,0.0593744530974041,6.13921871412943E-05,0.000183977071823501,0.194514023204488,0.00014909195989444,0.223788413206185,0,0,0,0,0,0,package://cthm2f650/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://cthm2f650/meshes/base_link.STL,,"CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-22;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-23;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-24;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-13;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-14;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-15;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-16;CTHM2F650.01_控制部组件-1/plain washers-n series-grade a gb-17;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-18;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-17;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-20;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-21;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-10;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-11;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-1;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-12;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-2;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-3;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-4;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-5;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-6;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-9;CTHM2F650.01_控制部组件-1/CTHM2F650.01-04_连接法兰-1;CTHM2F650.01_控制部组件-1/hexagon socket button head screws gb-8;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-38;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-31;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-30;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-29;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-36;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-43;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-42;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-43;CTHM2F650.02_减速机组件-1/CTHM2F650.02-04_减速机组件罩壳A-U-2;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-41;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-42;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-44;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-50;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-49;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-35;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-34;CTHM2F650.02_减速机组件-1/CTHM2F650.02-04_减速机组件罩壳A-U-1;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-33;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-38;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-39;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-40;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-44;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-47;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-48;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-23;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-24;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-32;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-31;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-21;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-29;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-22;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-30;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-25;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-26;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-2;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-33;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-34;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-35;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-27;CTHM2F650.02_减速机组件-1/hex nuts, style 1-grades ab gb-28;CTHM2F650.02_减速机组件-1/plain washers-n series-grade a gb-36;CTHM2F650.02_减速机组件-1/spring lock washers--normal type gb-34;CTHM2F650.02_减速机组件-1/spring lock washers--normal type gb-33;CTHM2F650.02_减速机组件-1/spring lock washers--normal type gb-31;CTHM2F650.02_减速机组件-1/spring lock washers--normal type gb-32;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-3;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-4;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-21;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-22;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-10;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-7;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-12;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-32;CTHM2F650.02_减速机组件-1/CTHM2F650.02-02_吊耳-1;CTHM2F650.02_减速机组件-1/CTHM2F650.02-02_吊耳-3;CTHM2F650.01_控制部组件-1/CTHM2F650.01-01_控制部组件总板-1;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-24;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-27;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-25;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-23;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-32;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-33;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-36;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-34;CTHM2F650.02_减速机组件-1/CTHM2F650.02-01_减速机安装板-1;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-1;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-37;CTHM2F650.02_减速机组件-1/hexagon socket countersunk head screws gb-9;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-45;CTHM2F650.01_控制部组件-1/CTHM2F650.01-05_顶部外壳B-1;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-46;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-35;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-29;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-22;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-26;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-20;CTHM2F650.01_控制部组件-1/TP2504_触控屏-1;CTHM2F650.01_控制部组件-1/hexagon socket countersunk head screws gb-28",坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_1_Link,0.108662194706192,0.013972100271601,2.16543443555518E-08,0,0,0,2.35815237009961,0.00811616500897367,0.00128812313563741,5.17549550063587E-10,0.00649819284496653,-9.05262033109528E-10,0.0100369096328525,0,0,0,0,0,0,package://cthm2f650/meshes/Left_1_Link.STL,0.223529411764706,0.223529411764706,0.223529411764706,1,0,0,0,0,0,0,package://cthm2f650/meshes/Left_1_Link.STL,,CTHM2F650.03_驱动臂组件-1/CTHM2F650.03-01_驱动臂-2;CTHM2F650.03_驱动臂组件-1/10X35X2_垫片-2;CTHM2F650.03_驱动臂组件-1/hexagon socket button head screws gb-4;CTHM2F650.03_驱动臂组件-1/8X28X2_垫片-4;CTHM2F650.03_驱动臂组件-1/hexagon socket button head screws gb-2;CTHM2F650.03_驱动臂组件-1/CTHM2F650.03-01_驱动臂-1;CTHM2F650.03_驱动臂组件-1/10X35X2_垫片-1;CTHM2F650.03_驱动臂组件-1/hexagon socket button head screws gb-1;CTHM2F650.03_驱动臂组件-1/hexagon socket button head screws gb-3;CTHM2F650.03_驱动臂组件-1/8X28X2_垫片-3;CTHM2F650.06_伸出臂组件-1/CTHM2F650.06-01_伸出组件底座-1;CTHM2F650.06_伸出臂组件-1/CTHM2F650.06-07_伸出组件盖板-1;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-19;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-6;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-7;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-16;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-15;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-14;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-17;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-9;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-8;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-18;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-10;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-5;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-4;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-3;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-2;T型头气弹簧-1/气弹簧T型头-1;CTHM2F650.06_伸出臂组件-1/hexagon socket button head screws gb-6;CTHM2F650.06_伸出臂组件-1/hexagon socket button head screws gb-7;CTHM2F650.06_伸出臂组件-1/hexagon socket countersunk head screws gb-20;CTHM2F650.03_驱动臂组件-1/CTHM2F650.03-02_减速电机出轴-1;CTHM2F650.03_驱动臂组件-1/14×28×1.5_垫片-2;CTHM2F650.06_伸出臂组件-1/E-B7002_轴承-2;CTHM2F650.06_伸出臂组件-1/E-B7002_轴承-1;CTHM2F650.03_驱动臂组件-1/14×28×1.5_垫片-1;T型头气弹簧-1/气弹簧18管径中心距150压力6kg行程35接头3-2/Z弹簧固定端固定-2,坐标系11,基准轴11,Left_1_Joint,revolute,-0.197,-0.00036855,-0.3245,1.5708,0,3.1416,base_link,0,0,-1,2,1000,0,1,,,,,,,,
Left_Push_Link,-0.000253654334918474,0.000416659095722,1.5709850766926E-09,0,0,0,0.0909850188042388,7.3369167699726E-06,3.29516775741093E-07,4.75027572089589E-13,6.99624075928001E-06,-5.78028782843342E-15,1.17713122486218E-05,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Push_Link.STL,1,1,1,1,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Push_Link.STL,,CTHM2F650.06_伸出臂组件-1/CTHM2F650.06-06_外伸推杆连接件-1;CTHM2F650.06_伸出臂组件-1/CTHM2F650.06-06_外伸推杆连接件-3,坐标系12,基准轴12,Left_Push_Joint,prismatic,0.274151815297701,-0.094562524654197,0,0,0,0,Left_1_Link,-0.520848995108535,0.853647066192808,0.00173512963252981,2,1000,0,1,,,,,,,,
Right_1_Link,0.145964979768084,0.0188416403281364,1.3809544192967E-08,0,0,0,1.75733462923068,0.00671023640033753,0.00128665561498255,8.65043077311704E-10,0.00509378150154635,-6.67864554606518E-10,0.0099897644195442,0,0,0,0,0,0,package://cthm2f650/meshes/Right_1_Link.STL,0.223529411764706,0.223529411764706,0.223529411764706,1,0,0,0,0,0,0,package://cthm2f650/meshes/Right_1_Link.STL,,CTHM2F650.03_驱动臂组件-2/CTHM2F650.03-01_驱动臂-1;CTHM2F650.03_驱动臂组件-2/10X35X2_垫片-1;CTHM2F650.03_驱动臂组件-2/hexagon socket button head screws gb-3;CTHM2F650.03_驱动臂组件-2/8X28X2_垫片-3;CTHM2F650.06_伸出臂组件-2/CTHM2F650.06-01_伸出组件底座-1;CTHM2F650.03_驱动臂组件-2/hexagon socket button head screws gb-1;CTHM2F650.03_驱动臂组件-2/hexagon socket button head screws gb-2;CTHM2F650.03_驱动臂组件-2/10X35X2_垫片-2;CTHM2F650.03_驱动臂组件-2/CTHM2F650.03-01_驱动臂-2;CTHM2F650.03_驱动臂组件-2/8X28X2_垫片-4;CTHM2F650.03_驱动臂组件-2/hexagon socket button head screws gb-4;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-8;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-9;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-6;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-7;CTHM2F650.06_伸出臂组件-2/hexagon socket button head screws gb-6;T型头气弹簧-3/气弹簧T型头-1;CTHM2F650.06_伸出臂组件-2/hexagon socket button head screws gb-7;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-20;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-19;CTHM2F650.06_伸出臂组件-2/CTHM2F650.06-07_伸出组件盖板-1;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-17;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-16;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-15;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-14;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-2;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-5;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-4;CTHM2F650.06_伸出臂组件-2/E-B7002_轴承-2;CTHM2F650.03_驱动臂组件-2/14×28×1.5_垫片-2;CTHM2F650.03_驱动臂组件-2/14×28×1.5_垫片-1;CTHM2F650.06_伸出臂组件-2/E-B7002_轴承-1;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-18;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-10;CTHM2F650.06_伸出臂组件-2/hexagon socket countersunk head screws gb-3;T型头气弹簧-3/气弹簧18管径中心距150压力6kg行程35接头3-2/Z弹簧固定端固定-2,坐标系41,基准轴41,Right_1_Joint,revolute,0.197,-0.00036855,-0.3245,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Right_Push_Link,-0.000253654334918696,0.000416659095721972,1.57098500281171E-09,0,0,0,0.0909850188042387,7.3369167699726E-06,3.29516775741091E-07,4.75027575320787E-13,6.99624075928002E-06,-5.78028643228097E-15,1.17713122486218E-05,0,0,0,0,0,0,package://cthm2f650/meshes/Right_Push_Link.STL,1,1,1,1,0,0,0,0,0,0,package://cthm2f650/meshes/Right_Push_Link.STL,,CTHM2F650.06_伸出臂组件-2/CTHM2F650.06-06_外伸推杆连接件-3;CTHM2F650.06_伸出臂组件-2/CTHM2F650.06-06_外伸推杆连接件-1,坐标系42,基准轴42,Right_Push_Joint,prismatic,0.274151815296988,-0.0945625246560179,0,0,0,0,Right_1_Link,-0.520848995106693,0.853647066193932,0.00173512963252985,0,0,0,0,,,,,,,,
Left_2_Link,0.138072271350383,-0.0477287628830105,4.24378360007703E-14,0,0,0,0.601752896258549,0.000734913427304386,0.00140247933871755,1.82090501415622E-19,0.00428178301737352,-1.0344387551674E-19,0.00460699625824503,0,0,0,0,0,0,package://cthm2f650/meshes/Left_2_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://cthm2f650/meshes/Left_2_Link.STL,,CTHM2F650.04_从动臂组件-1/CTHM2F650.04-01_从动臂-1;CTHM2F650.04_从动臂组件-1/8X28X2_垫片-3;CTHM2F650.02_减速机组件-1/E-B7002_轴承-5;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-5;CTHM2F650.04_从动臂组件-1/14×28×1.5_垫片-3;CTHM2F650.04_从动臂组件-1/8X28X2_垫片-2;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-4;CTHM2F650.02_减速机组件-1/E-B7002_轴承-6;CTHM2F650.04_从动臂组件-1/14×28×1.5_垫片-2;T型头气弹簧-1/气弹簧T型头-2;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-1;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-2;CTHM2F650.04_从动臂组件-1/8X28X2_垫片-4;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-6;CTHM2F650.05_夹板组件-1/E-B7002_轴承-3;CTHM2F650.04_从动臂组件-1/14×28×1.5_垫片-4;CTHM2F650.04_从动臂组件-1/8X28X2_垫片-1;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-3;CTHM2F650.04_从动臂组件-1/14×28×1.5_垫片-1;CTHM2F650.05_夹板组件-1/E-B7002_轴承-2,坐标系21,基准轴21,Left_2_Joint,revolute,-0.095,-0.00036855,-0.426,1.5708,0,3.1416,base_link,0,0,-1,2,1000,0,1,,,,,,,,
Left_in_Link,0.0364698944518976,0.0331640092172622,7.52965225053667E-11,0,0,0,0.0189842273092798,7.6702783226048E-06,-7.90121078795473E-06,-2.51237982111438E-11,9.17411131682009E-06,2.76452769223894E-11,1.63884310602453E-05,0,0,0,0,0,0,package://cthm2f650/meshes/Left_in_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://cthm2f650/meshes/Left_in_Link.STL,,T型头气弹簧-1/气弹簧18管径中心距150压力6kg行程35接头3-2/Z弹簧固定端固定-1;T型头气弹簧-1/气弹簧18管径中心距150压力6kg行程35接头3-2/Z弹簧固定端-1,坐标系22,基准轴22,Left_in_Joint,revolute,0.168817203600974,-0.0320273597460812,0,0,0,0,Left_2_Link,0,0,-1,0,0,0,0,,,,,,,,
Left_Lever_Link,0.0396214366116736,0.0360298834331575,-1.57886918909455E-11,0,0,0,0.00945776468363209,5.28197876115624E-06,-5.75236998080716E-06,-9.07058038498795E-21,6.37682353682971E-06,-8.2714801061602E-21,1.16077600567449E-05,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Lever_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Lever_Link.STL,,T型头气弹簧-1/气弹簧18管径中心距150压力6kg行程35接头3-2/Z弹簧活塞杆-1,坐标系26,基准轴26,Left_Lever_Joint,prismatic,0.0276762998139219,0.0251675340579723,0,0,0,0,Left_in_Link,0.739843447587892,0.672779067050441,0,0,0,0,0,,,,,,,,
Left_Little_Pad_Link,0.00120427010273755,0.00347612360648736,2.01794679817902E-17,0,0,0,0.182124075144935,0.000369736786806016,2.61988910692794E-05,-2.12884012534417E-20,0.000436283483679481,7.94396388247089E-21,8.63168373322183E-05,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Little_Pad_Link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Little_Pad_Link.STL,,CTHM2F650.04_从动臂组件-1/CTHM2F650.04-03_从动臂挡板软垫-1;CTHM2F650.04_从动臂组件-1/CTHM2F650.04-02_从动臂挡板-1,坐标系25,基准轴25,Left_Little_Pad_Joint,fixed,0.166623115409727,-0.0841827619597156,0,0,0,0,Left_2_Link,0,0,0,,,,,,,,,,,,
Left_Support_Link,0.0367202829413875,0.0091684400619339,1.81462161047166E-10,0,0,0,0.906672737211858,0.00289030078913858,-0.00146506266831225,1.60555283489395E-12,0.00137106378591019,9.46939904488275E-13,0.0040684767877317,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Support_Link.STL,1,1,1,1,0,0,0,0,0,0,package://cthm2f650/meshes/Left_Support_Link.STL,,CTHM2F650.06_伸出臂组件-1/CTHM2F650.06-06_外伸推杆连接件-1;CTHM2F650.06_伸出臂组件-1/CTHM2F650.06-06_外伸推杆连接件-3;CTHM2F650.04_从动臂组件-1/8X28X2_垫片-4;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-6;CTHM2F650.05_夹板组件-1/E-B7002_轴承-3;CTHM2F650.04_从动臂组件-1/14×28×1.5_垫片-1;CTHM2F650.04_从动臂组件-1/14×28×1.5_垫片-4;CTHM2F650.05_夹板组件-1/hexagon socket countersunk head screws gb-7;CTHM2F650.05_夹板组件-1/hexagon socket countersunk head screws gb-8;CTHM2F650.05_夹板组件-1/CTHM2F650.05-03_夹板连杆-1;CTHM2F650.05_夹板组件-1/hexagon socket countersunk head screws gb-1;CTHM2F650.05_夹板组件-1/hexagon socket countersunk head screws gb-9;CTHM2F650.05_夹板组件-1/hexagon socket countersunk head screws gb-10;CTHM2F650.05_夹板组件-1/hexagon socket countersunk head screws gb-11;CTHM2F650.04_从动臂组件-1/hexagon socket button head screws gb-3;CTHM2F650.04_从动臂组件-1/8X28X2_垫片-1;CTHM2F650.05_夹板组件-1/E-B7002_轴承-2,坐标系23,基准轴23,Left_Support_Joint,revolute,0.274021669036993,-0.0949322121210581,0,0,0,0,Left_2_Link,0,0,-1,0,0,0,0,,,,,,,,
