Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.10483661037337E-05,0.00088712829711066,0.0548484947516896,0,0,0,0.606673726061038,0.000810504728231977,2.86132951420374E-08,1.65426694206615E-06,0.000811428888685944,-2.02043306195685E-06,0.000686571783532389,0,0,0,0,0,0,package://ctm3f123/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/base_link.STL,,CTM3F123 壳体-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Main_1_Link,-0.000535747842268744,0.0329508527955374,-9.0000000000002E-05,0,0,0,0.0157120232933615,1.04207957946001E-05,6.65261563033867E-08,-2.79695286376013E-21,6.3302257174426E-06,-1.48966365300576E-21,4.56030811672516E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Main_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Main_1_Link.STL,,123_连杆组件-2/CTM3F123 驱动臂-1;123_连杆组件-2/CTM3F123 销轴-2,坐标系13,基准轴13,Main_1_Joint,revolute,0,0.033994,0.082211,1.5708,0.016174,1.5708,base_link,0,0,1,2,1000,0,1,,,,,,,,
Out_1_Link,-0.000238568911329937,0.0199085484128003,-8.99982504162629E-05,0,0,0,0.0136187304994763,3.64179520695042E-06,1.85391666443482E-08,-1.07591799730526E-13,1.17762675681499E-06,-4.06303403749204E-13,2.69525213768084E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Out_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Out_1_Link.STL,,123_连杆组件-2/CTM3F123 协动臂-1;CTM3F123 销轴-1,坐标系11,基准轴11,Out_1_Joint,revolute,0,0.0667911467519449,0.0696788586422166,1.5707963267949,0.0161743379073906,1.57079632679491,base_link,0,0,1,0,0,0,0,,,,,,,,
Support_1_Link,-0.0123631851738163,0.00547576442060571,-8.99999779483683E-05,0,0,0,0.0122909079008009,8.48949906863574E-07,4.95789221160508E-07,2.06056282894619E-16,1.50474900925647E-06,-1.70451449345108E-15,1.48435203428893E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Support_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Support_1_Link.STL,,123_连杆组件-2/CTM3F123 平行块-1;123_连杆组件-2/CTM3F123 销轴-1,坐标系12,基准轴12,Support_1_Joint,revolute,-0.000889549797987152,0.0549928059036544,0,0,0,0,Out_1_Link,0,0,1,0,0,0,0,,,,,,,,
Pad_1_Link,0.00493838635631292,-0.000177137702892627,-8.99989859266225E-05,0,0,0,0.00909573489215947,1.5263456533175E-06,1.37219715171367E-07,-5.68914467932543E-15,4.74434481145163E-07,2.1359093024446E-15,1.28732406525385E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Pad_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Pad_1_Link.STL,,123_连杆组件-2/CTM3F123 指端-1;123_连杆组件-2/CTM3F123 指垫-1,坐标系14,基准轴14,Pad_1_Joint,fixed,-0.043496177396521,0.0402499021664913,0,0,0,0,Support_1_Link,0,0,0,,,,,,,,,,,,
Main_2_Link,2.45539699683661E-13,0.0329552078692227,-5.15540735102071E-13,0,0,0,0.0157120232933615,1.04218774432274E-05,9.95511867207569E-22,-2.32934060494933E-21,6.32914406881531E-06,-2.40089172793516E-21,4.56030811672515E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Main_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Main_2_Link.STL,,123_连杆组件-15/CTM3F123 驱动臂-1;123_连杆组件-15/CTM3F123 销轴-2,坐标系23,基准轴23,Main_2_Joint,revolute,-0.028329,-0.014912,0.083002,1.5848,-0.0068726,-2.618,base_link,0,0,1,2,1000,0,1,,,,,,,,
Out_2_Link,8.3455594281967E-05,0.0199098028677392,1.79239523917518E-09,0,0,0,0.0136187304994763,3.64175022691304E-06,-2.13198748979172E-08,-1.1414912755192E-13,1.17767173685237E-06,-4.04510112385358E-13,2.69525213768084E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Out_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Out_2_Link.STL,,123_连杆组件-15/CTM3F123 协动臂-1;CTM3F123 销轴-13,坐标系21,基准轴21,Out_2_Joint,revolute,-0.0569042876721976,-0.0316012145153478,0.0712704287330768,1.58480388452747,-0.00678989444617694,-2.61803234894306,base_link,0,0,1,0,0,0,0,,,,,,,,
Support_2_Link,-0.0123702645443338,0.00545975303282406,2.19268804502182E-11,0,0,0,0.0122909079008008,8.47667196140137E-07,4.94938487017408E-07,2.08263537691881E-16,1.50603171997988E-06,-1.70424784352713E-15,1.48435203428892E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Support_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Support_2_Link.STL,,123_连杆组件-15/CTM3F123 平行块-1;123_连杆组件-15/CTM3F123 销轴-1,坐标系22,基准轴22,Support_2_Joint,revolute,0,0.0549999999999986,0,0,0,0,Out_2_Link,0,0,-1,0,0,0,0,,,,,,,,
Pad_2_Link,0.00444230028121621,-0.000177148196383092,1.59317946335502E-09,0,0,0,0.00909573436524331,1.526346267087E-06,1.37217372336794E-07,-5.65396096890285E-14,4.74434022342762E-07,5.61264906120924E-14,1.28732422145679E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Pad_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Pad_2_Link.STL,,123_连杆组件-15/CTM3F123 指端-1;123_连杆组件-15/CTM3F123 指垫-1,坐标系24,基准轴24,Pad_2_Joint,fixed,-0.0430521666305954,0.0401941967009787,0,0,0,0.00129696423438193,Support_2_Link,0,0,0,,,,,,,,,,,,
Main_3_Link,-3.36876360140792E-13,0.0329552078692228,0.0235000000001598,0,0,0,0.0157120232933615,1.04218774432274E-05,-3.57342024622908E-22,4.2351647362715E-22,6.32914406881532E-06,1.15557131573658E-21,4.56030811672515E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Main_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Main_3_Link.STL,,123_连杆组件-14/CTM3F123 驱动臂-1;123_连杆组件-14/CTM3F123 销轴-2,坐标系33,基准轴33,Main_3_Joint,revolute,0.039989,0.0052815,0.082675,1.5568,-0.01517,-0.52344,base_link,0,0,1,2,1000,0,1,,,,,,,,
Out_3_Link,8.34555943282356E-05,0.0199098028677413,1.79203783756687E-09,0,0,0,0.0136187304994763,3.64175022691304E-06,-2.13198748979175E-08,-1.14149128398953E-13,1.17767173685237E-06,-4.04510107041048E-13,2.69525213768083E-06,0,0,0,0,0,0,package://ctm3f123/meshes/Out_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://ctm3f123/meshes/Out_3_Link.STL,,123_连杆组件-14/CTM3F123 协动臂-1;CTM3F123 销轴-12,坐标系31,基准轴31,Out_3_Joint,revolute,0.056814,-0.031757,0.071273,1.5568,-0.015087,-0.52344,base_link,0,0,1,0,0,0,0,,,,,,,,
